kind,name,mean_ns,p50_ns,p95_ns,max_ns,total,per_frame
meta,total_frames,,,,,,1200,
meta,frames_over_20ms,,,,,,15,
meta,eff_fps,,,,,,101.176,
stage,frame,9883779,5243000,5986000,5425282000,,
stage,async,288865,2000,181000,88652000,,
stage,logic,629347,83000,492000,117002000,,
stage,cs2,555380,0,403000,116838000,,
stage,layout,381,0,1000,157000,,
stage,interact,19012,19000,28000,66000,,
stage,emit,194560,195000,355000,700000,,
stage,paint,552556,621000,712000,1879000,,
stage,build,552716,621000,712000,1880000,,
stage,render,3364397,3808000,4227000,5320000,,
stage,present,140654,138000,156000,384000,,
stage,server,82650,1000,2000,93709000,,
counter,uitree_find_id,,,,,825564,687.970000
counter,uitree_find_id_probes,,,,,2099472,1749.560000
counter,uitree_find_id_linear,,,,,0,0.000000
counter,uitree_id_rebuild,,,,,498,0.415000
counter,uitree_find_child,,,,,27228,22.690000
counter,uitree_find_child_hit,,,,,15837,13.197500
counter,uitree_find_child_ceil_miss,,,,,10748,8.956667
counter,uitree_walk_emit,,,,,3307304,2756.086667
counter,uitree_walk_emit_drag,,,,,0,0.000000
counter,uitree_walk_hit,,,,,675725,563.104167
counter,uitree_walk_hover,,,,,108205,90.170833
counter,uitree_walk_drop,,,,,0,0.000000
counter,uitree_emit_skip,,,,,2929453,2441.210833
counter,uitree_layout_resolve,,,,,959,0.799167
counter,uitree_layout_skip,,,,,461,0.384167
counter,uitree_layout_nodes,,,,,3416507,2847.089167
counter,uitree_layout_node_skip,,,,,3298522,2748.768333
counter,uitree_layout_depth_recompute,,,,,484,0.403333
counter,uitree_ensure_layout,,,,,23248,19.373333
counter,uitree_cc_create,,,,,11054,9.211667
counter,uitree_cc_delete,,,,,0,0.000000
counter,uitree_cc_deleteall,,,,,783,0.652500
counter,uitree_cc_deleteall_rows,,,,,5022,4.185000
counter,uitree_apply_geo,,,,,27595,22.995833
counter,uitree_apply_content,,,,,31379,26.149167
counter,uitree_apply_hook,,,,,8398,6.998333
counter,uitree_apply_other,,,,,568189,473.490833
counter,uitree_key_scan,,,,,0,0.000000
counter,uitree_key_scan_nodes,,,,,0,0.000000
counter,uitree_components,,,,,7798176,6498.480000
counter,uitree_capacity,,,,,8673280,7227.733333
counter,uitree_free_list,,,,,0,0.000000
counter,uitree_node_bytes,,,,,18040422400,15033685.333333
counter,cs2_scripts,,,,,11266,9.388333
counter,cs2_opcodes,,,,,2416859,2014.049167
counter,cs2_host_ops,,,,,336099,280.082500
counter,cs2_cycles,,,,,2416859,2014.049167
counter,cs2_aborts,,,,,0,0.000000
counter,cs2_vm_acquire,,,,,8935,7.445833
counter,cs2_vm_pool_hit,,,,,8933,7.444167
counter,cs2_vm_pool_miss,,,,,2,0.001667
counter,cs2_vm_init_ns,,,,,6350000,5291.666667
counter,cs2_frame_pool_hit,,,,,19898,16.581667
counter,cs2_frame_pool_miss,,,,,15,0.012500
counter,cache_model_hit,,,,,15450,12.875000
counter,cache_model_miss,,,,,2393,1.994167
counter,cache_model_evict,,,,,0,0.000000
counter,cache_sprite_hit,,,,,47734,39.778333
counter,cache_sprite_miss,,,,,1031,0.859167
counter,cache_sprite_evict,,,,,0,0.000000
counter,cache_texture_hit,,,,,0,0.000000
counter,cache_texture_miss,,,,,0,0.000000
counter,cache_objtype_hit,,,,,0,0.000000
counter,cache_objtype_miss,,,,,0,0.000000
counter,cache_npctype_hit,,,,,0,0.000000
counter,cache_npctype_miss,,,,,0,0.000000
counter,cache_loc_hit,,,,,0,0.000000
counter,cache_loc_miss,,,,,0,0.000000
counter,cache_other_hit,,,,,0,0.000000
counter,cache_other_miss,,,,,0,0.000000
counter,cache_group_hit,,,,,0,0.000000
counter,cache_group_miss,,,,,0,0.000000
counter,cache_group_evict,,,,,0,0.000000
counter,cache_archive_hit,,,,,0,0.000000
counter,cache_archive_miss,,,,,0,0.000000
counter,cache_archive_evict,,,,,0,0.000000
counter,model_inst_hit,,,,,0,0.000000
counter,model_inst_miss,,,,,0,0.000000
counter,model_inst_evict,,,,,0,0.000000
counter,painter_pops,,,,,8763558,7302.965000
counter,painter_gate_rejects,,,,,3830586,3192.155000
counter,painter_pushes,,,,,8763558,7302.965000
counter,painter_push_dedup,,,,,3820291,3183.575833
counter,painter_drain_events,,,,,4160,3.466667
counter,painter_commands,,,,,5435014,4529.178333
counter,painter_tiles_remaining_set,,,,,4502780,3752.316667
counter,scene_elements,,,,,6879178,5732.648333
counter,scene_anim_list,,,,,53250,44.375000
counter,zone_map_count,,,,,52868,44.056667
counter,zone_map_capacity,,,,,306944,255.786667
counter,npc_slot_max,,,,,77935,64.945833
counter,cache_model_size,,,,,425479,354.565833
counter,cache_sprite_size,,,,,209277,174.397500
counter,iface_open,,,,,26,0.021667
counter,iface_close,,,,,2,0.001667
counter,iface_bake,,,,,22,0.018333
counter,iface_bake_reuse,,,,,4,0.003333
counter,iface_mount_ns,,,,,8034000,6695.000000
counter,iface_close_ns,,,,,1000,0.833333
counter,iface_groups_resident,,,,,9980,8.316667
counter,uitree_hidden,,,,,1546646,1288.871667
counter,uitree_unmounted,,,,,52,0.043333
counter,uitree_freed,,,,,0,0.000000
counter,uitree_hook_blocks,,,,,360311,300.259167
counter,uitree_hook_bytes,,,,,3675172200,3062643.500000
counter,host_inv_hooks,,,,,6711,5.592500
counter,host_var_hooks,,,,,57704,48.086667
counter,host_stat_hooks,,,,,22638,18.865000
counter,bridge_sprite_map,,,,,193072,160.893333
counter,bridge_model_map,,,,,0,0.000000
counter,bridge_obj_icon_map,,,,,62946,52.455000
counter,cache_clientscript_size,,,,,188128,156.773333
counter,uitree_anim_scan,,,,,796,0.663333
counter,uitree_anim_scan_nodes,,,,,0,0.000000
counter,uitree_anim_model_nodes,,,,,0,0.000000
counter,uitree_wheel_scan_nodes,,,,,0,0.000000
counter,uitree_opkey_scan_nodes,,,,,0,0.000000
counter,uitree_hook_index_rebuild_nodes,,,,,0,0.000000
counter,iface_group_scan_nodes,,,,,2501,2.084167
